Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2.TS_RegisterPatient,Chrome 135.0.7049.42,,,13-04-2025 16:19:56,13-04-2025 16:22:43,2m - 46.988s,PASSED
,,,,,,,
Test Cases/2. Register Patient/1. Admin mandaftarkan pasien baru,Chrome 135.0.7049.42,,,13-04-2025 16:19:56,13-04-2025 16:22:43,2m - 46.825s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 135.0.7049.42,,,13-04-2025 16:19:56,13-04-2025 16:20:28,31.565s,PASSED
randomGenerator = new randomString(),Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:28,0.008s,PASSED
randomLength = 8,Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:28,0.000s,PASSED
randomText = randomGenerator.generateAlphanumeric(randomLength),Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:28,0.033s,PASSED
"println(""Random Alphanumeric Text: "" + randomText)",Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:28,0.005s,PASSED
randomText = randomText,Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:28,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Register a patient""))",Chrome 135.0.7049.42,,,13-04-2025 16:20:28,13-04-2025 16:20:36,8.117s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_(required)_givenName""), 10)",Chrome 135.0.7049.42,,,13-04-2025 16:20:36,13-04-2025 16:20:37,0.360s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_(required)_givenName""), ""irman"")",Chrome 135.0.7049.42,,,13-04-2025 16:20:37,13-04-2025 16:20:37,0.557s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_Middle_middleName""), ""ramadhan"")",Chrome 135.0.7049.42,,,13-04-2025 16:20:37,13-04-2025 16:20:38,1.098s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_(required)_familyName""), randomText)",Chrome 135.0.7049.42,,,13-04-2025 16:20:38,13-04-2025 16:20:40,1.404s,PASSED
