Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
3.TS_Find_Patient_Record,Chrome 135.0.7049.42,,,13-04-2025 16:22:47,13-04-2025 16:28:35,5m - 47.676s,PASSED
,,,,,,,
Test Cases/3. Find Patient Record/1. Search Patient by Name,Chrome 135.0.7049.42,,,13-04-2025 16:22:47,13-04-2025 16:23:31,43.690s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 135.0.7049.42,,,13-04-2025 16:22:47,13-04-2025 16:23:21,33.953s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Find Patient Record (1)""))",Chrome 135.0.7049.42,,,13-04-2025 16:23:21,13-04-2025 16:23:27,5.531s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_Find Patient Record_patient-search (1)""), ""Nindy Silvi Kusumaningrum"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:27,13-04-2025 16:23:27,0.600s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/td_100J27Recent""), 5)",Chrome 135.0.7049.42,,,13-04-2025 16:23:27,13-04-2025 16:23:28,0.571s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/td_irman ramadhan rama""), ""Nindy Silvi Kusumaningrum"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:28,13-04-2025 16:23:28,0.566s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/td_M""), ""F"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:28,13-04-2025 16:23:29,0.260s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/td_31""), ""22"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:29,13-04-2025 16:23:29,0.276s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/birthDate""), ""   13 Sep 2002"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:29,13-04-2025 16:23:29,0.267s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/div_Identifier""), ""Identifier"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:29,13-04-2025 16:23:29,0.264s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/div_Name""), ""Name"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:29,13-04-2025 16:23:30,0.277s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/div_Gender""), ""Gender"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:30,13-04-2025 16:23:30,0.267s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/div_Age""), ""Age"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:30,13-04-2025 16:23:30,0.254s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/div_Birthdate""), ""Birthdate"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:30,13-04-2025 16:23:31,0.244s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/h2_Find Patient Record""), ""Find Patient Record"")",Chrome 135.0.7049.42,,,13-04-2025 16:23:31,13-04-2025 16:23:31,0.275s,PASSED
,,,,,,,
Test Cases/3. Find Patient Record/2. Patient Information,Chrome 135.0.7049.42,,,13-04-2025 16:23:31,13-04-2025 16:24:37,1m - 6.117s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 135.0.7049.42,,,13-04-2025 16:23:31,13-04-2025 16:24:02,30.971s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Find Patient Record (2)""))",Chrome 135.0.7049.42,,,13-04-2025 16:24:02,13-04-2025 16:24:06,3.857s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_Find Patient Record_patient-search (2)""), ""irman"")",Chrome 135.0.7049.42,,,13-04-2025 16:24:06,13-04-2025 16:24:06,0.600s,PASSED
