Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
4.TS_Active_Visits,Chrome 135.0.7049.42,,,13-04-2025 16:28:39,13-04-2025 16:37:37,8m - 58.592s,FAILED
,,,,,,,
"Test Cases/4. Active Visits/1. Search Active Visits by Patient Id, Name, Last Seen",Chrome 135.0.7049.42,,,13-04-2025 16:32:16,13-04-2025 16:33:24,1m - 7.618s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 135.0.7049.42,,,13-04-2025 16:32:16,13-04-2025 16:32:47,30.895s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Active Visits""))",Chrome 135.0.7049.42,,,13-04-2025 16:32:47,13-04-2025 16:32:51,4.382s,PASSED
"setText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/input_search""), ""irman ramadhan"")",Chrome 135.0.7049.42,,,13-04-2025 16:32:51,13-04-2025 16:32:52,0.560s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_OpenMRS Electronic Medical Record/a_irman ramadhan ZPNWq2sg""), ""irman ramadhan ZPNWq2sg"")",Chrome 135.0.7049.42,,,13-04-2025 16:32:52,13-04-2025 16:33:24,31.760s,FAILED
,,,,,,,
Test Cases/4. Active Visits/2. Admin dapat melihat Active Visits Pasien,Chrome 135.0.7049.42,,,13-04-2025 16:36:26,13-04-2025 16:37:37,1m - 11.792s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 135.0.7049.42,,,13-04-2025 16:36:26,13-04-2025 16:37:01,35.460s,PASSED
"click(findTestObject(""Object Repository/Page_Home/a_Active Visits (1)""))",Chrome 135.0.7049.42,,,13-04-2025 16:37:01,13-04-2025 16:37:08,6.865s,PASSED
"navigateToUrl(""https://o2.openmrs.org/openmrs/coreapps/activeVisits.page?app=coreapps.activeVisits"")",Chrome 135.0.7049.42,,,13-04-2025 16:37:08,13-04-2025 16:37:09,1.419s,PASSED
